date,td3,Mean Var
2023-01-03,1.0,0.9853049480035736
2023-01-04,1.0158265571899416,0.9854415840107322
2023-01-05,1.0148560018638613,0.9726709018347975
2023-01-06,1.0391524850397114,0.9976177892213525
2023-01-09,1.0494348300865484,0.9913107261567887
2023-01-10,1.0483854301219182,0.9901119845436533
2023-01-11,1.05443162921917,0.9858838557702683
2023-01-12,1.0599151720287783,0.9835185505523983
2023-01-13,1.0725245682766422,0.9893398882332225
2023-01-17,1.0774729709560855,1.0020318158051207
2023-01-18,1.0638332862255557,0.98516273035798
2023-01-19,1.0534718919460757,0.9736900058317036
2023-01-20,1.0759438056194766,0.9898215680935777
2023-01-23,1.1021407313625797,1.0086054916145937
2023-01-24,1.0994746369793398,1.008760616058258
2023-01-25,1.09837518131086,1.0068223396670082
2023-01-26,1.1103781292478716,1.0325511607602722
2023-01-27,1.109935345313126,1.0397920383284696
2023-01-30,1.1088254292112127,1.023481868401202
2023-01-31,1.1212361329404608,1.0435754063215905
2023-02-01,1.1412566958428885,1.0793565281875677
2023-02-02,1.1401154705661931,1.0928286821303288
2023-02-03,1.1401154705661931,1.0862213319075413
2023-02-06,1.1401154705661931,1.0873130650360927
2023-02-07,1.1533210375490344,1.0987758609437313
2023-02-08,1.1285485228490528,1.1116837483305129
2023-02-09,1.1274199879254385,1.1151967613636302
2023-02-10,1.1175949870976494,1.1353638766412737
2023-02-13,1.141850430021203,1.148794156170616
2023-02-14,1.1549663019419374,1.1750238941848004
2023-02-15,1.1648292419996917,1.1868283018123997
2023-02-16,1.1636644192652768,1.1576237119442678
2023-02-17,1.155757553737552,1.1592440460697515
2023-02-21,1.1305159158237106,1.1345191550545128
2023-02-22,1.1282015705020554,1.1258717488795018
2023-02-23,1.1414126751315719,1.1322255982046179
2023-02-24,1.140271267601169,1.111549306449493
2023-02-27,1.140271267601169,1.1324677715263518
2023-02-28,1.138563648974956,1.1237156399854804
2023-03-01,1.1397516981888764,1.1147967431560124
2023-03-02,1.1563149286805148,1.1440697677776375
2023-03-03,1.1762172725678437,1.1580324335363332
2023-03-06,1.175041060181537,1.1317059839087384
2023-03-07,1.1594874879813344,1.1206802749687943
2023-03-08,1.1672757393058353,1.1206685383478823
2023-03-09,1.142420622713428,1.099028818988794
2023-03-10,1.1255676943687014,1.082264013356178
2023-03-13,1.1244924442924076,1.0886312224070933
2023-03-14,1.1233679534973484,1.1157508680240693
2023-03-15,1.1102424799906117,1.1141724412411784
2023-03-16,1.1328389093660962,1.133044736104694
2023-03-17,1.127174830386604,1.1171410151998988
2023-03-20,1.1447583919481885,1.1356919399914083
2023-03-21,1.1623924642634045,1.1574193119869907
2023-03-22,1.1471262752985607,1.1347221837169266
2023-03-23,1.1543042852968823,1.139363194059574
2023-03-24,1.1486876133379589,1.1371659426221263
2023-03-27,1.148561541209663,1.1487257956348458
2023-03-28,1.1519154305643688,1.1426723045185523
2023-03-29,1.1729965056681286,1.1519517058674762
2023-03-30,1.1718235307266878,1.1633231869634306
2023-03-31,1.1852220060257603,1.1859767705617865
2023-04-03,1.1833731948635633,1.1757056796436829
2023-04-04,1.1728383336880264,1.1702951059989926
2023-04-05,1.1619588052303846,1.1473894915241993
2023-04-06,1.157868630578285,1.1482353375889451
2023-04-10,1.1626503111050184,1.160191478878308
2023-04-11,1.1617935027401503,1.1686489001829152
2023-04-12,1.1526412869617995,1.163124748719878
2023-04-13,1.1744795538227615,1.1775926328762076
2023-04-14,1.1771987095768508,1.1771065971318744
2023-04-17,1.1809161080753858,1.1856939798393187
2023-04-18,1.1866556554882581,1.189630142344201
2023-04-19,1.1845206987812575,1.193462741966444
2023-04-20,1.1833362054710306,1.1733684280789194
2023-04-21,1.1833362054710306,1.1766695907028224
2023-04-24,1.1812949265960613,1.174562040611406
2023-04-25,1.1562571832688786,1.1540709488876797
