date,sac,Mean Var
2023-01-03,1.0,0.9853049480035736
2023-01-04,1.0026025299973764,0.9854415840107322
2023-01-05,1.002133276035693,0.9726709018347975
2023-01-06,1.0145795384221181,0.9976177892213525
2023-01-09,1.0106294745417603,0.9913107261567887
2023-01-10,1.0096836386565637,0.9901119845436533
2023-01-11,1.0139563537422398,0.9858838557702683
2023-01-12,1.0146053766289396,0.9835185505523983
2023-01-13,1.0208240808800992,0.9893398882332225
2023-01-17,1.0251972742213544,1.0020318158051207
2023-01-18,1.0137859638089477,0.98516273035798
2023-01-19,0.9949449774789152,0.9736900058317036
2023-01-20,1.020908084242755,0.9898215680935777
2023-01-23,1.0446978616151152,1.0086054916145937
2023-01-24,1.0431894469422636,1.008760616058258
2023-01-25,1.0421462603589338,1.0068223396670082
2023-01-26,1.049062246403207,1.0325511607602722
2023-01-27,1.0494809926371687,1.0397920383284696
2023-01-30,1.0484761115187833,1.023481868401202
2023-01-31,1.0550384827571095,1.0435754063215905
2023-02-01,1.0794717309198454,1.0793565281875677
2023-02-02,1.0784400657812836,1.0928286821303288
2023-02-03,1.0784400657812836,1.0862213319075413
2023-02-06,1.0784400657812836,1.0873130650360927
2023-02-07,1.0855558755871786,1.0987758609437313
2023-02-08,1.0700095131480047,1.1116837483305129
2023-02-09,1.0689764949055498,1.1151967613636302
2023-02-10,1.065418640446487,1.1353638766412737
2023-02-13,1.0824150008388025,1.148794156170616
2023-02-14,1.0934001912479514,1.1750238941848004
2023-02-15,1.1020535414543267,1.1868283018123997
2023-02-16,1.1009514907029998,1.1576237119442678
2023-02-17,1.0978821100205327,1.1592440460697515
2023-02-21,1.0773243039701328,1.1345191550545128
2023-02-22,1.0777193239395941,1.1258717488795018
2023-02-23,1.093376471385273,1.1322255982046179
2023-02-24,1.0922830955393388,1.111549306449493
2023-02-27,1.0922830955393388,1.1324677715263518
2023-02-28,1.0906983580962326,1.1237156399854804
2023-03-01,1.0836086704904897,1.1147967431560124
2023-03-02,1.0986158579907526,1.1440697677776375
2023-03-03,1.1147038084521403,1.1580324335363332
2023-03-06,1.1135891082634466,1.1317059839087384
2023-03-07,1.108245631907273,1.1206802749687943
2023-03-08,1.115321217305755,1.1206685383478823
2023-03-09,1.0963128753710718,1.099028818988794
2023-03-10,1.0806241156683893,1.082264013356178
2023-03-13,1.0841390434485405,1.0886312224070933
2023-03-14,1.083054905508771,1.1157508680240693
2023-03-15,1.0820753273492851,1.1141724412411784
2023-03-16,1.1007960316677246,1.133044736104694
2023-03-17,1.091638121785435,1.1171410151998988
2023-03-20,1.099457977230343,1.1356919399914083
2023-03-21,1.1080732471287575,1.1574193119869907
2023-03-22,1.0935281118100015,1.1347221837169266
2023-03-23,1.1116193959267466,1.139363194059574
2023-03-24,1.1147428697874873,1.1371659426221263
2023-03-27,1.111066026298794,1.1487257956348458
2023-03-28,1.1083611705944865,1.1426723045185523
2023-03-29,1.129439815367016,1.1519517058674762
2023-03-30,1.1283103775718977,1.1633231869634306
2023-03-31,1.1371242025111514,1.1859767705617865
2023-04-03,1.1358994800397997,1.1757056796436829
2023-04-04,1.1291459786075408,1.1702951059989926
2023-04-05,1.1186970089310464,1.1473894915241993
2023-04-06,1.1189326727651414,1.1482353375889451
2023-04-10,1.1259571580570993,1.160191478878308
2023-04-11,1.1243974133375938,1.1686489001829152
2023-04-12,1.11590109622181,1.163124748719878
2023-04-13,1.1314876928528603,1.1775926328762076
2023-04-14,1.128843184338456,1.1771065971318744
2023-04-17,1.1327619162114915,1.1856939798393187
2023-04-18,1.1382178787926491,1.189630142344201
2023-04-19,1.1367788716739473,1.193462741966444
2023-04-20,1.1356420961420663,1.1733684280789194
2023-04-21,1.1356420961420663,1.1766695907028224
2023-04-24,1.1358783659606075,1.174562040611406
2023-04-25,1.1104681912828276,1.1540709488876797
2023-04-26,1.1104076713339648,1.144273509593268
2023-04-27,1.1092972641071008,1.158713865989495
2023-04-28,1.1092972641071008,1.1616956858492336
2023-05-01,1.1092972641071008,1.1565908456225704
2023-05-02,1.1036304131797579,1.1535705325722942
2023-05-03,1.1030838338195192,1.1390670195425503
2023-05-04,1.1030838338195192,1.1464417951676857
2023-05-05,1.1030838338195192,1.1795735692760794
2023-05-08,1.1030838338195192,1.190789678875604
2023-05-09,1.1008244683428974,1.1906742222561888
2023-05-10,1.1074770395288205,1.2018990898752173
2023-05-11,1.104262376479609,1.2037311832652682
2023-05-12,1.104169272950871,1.2008987304805936
2023-05-15,1.1055200048167537,1.1913720467061888
2023-05-16,1.1006598280310462,1.1883297036824385
2023-05-17,1.111408514062388,1.2002808013747466
2023-05-18,1.135038654080851,1.2099189393603489
2023-05-19,1.1339036167004868,1.2140361053397561
2023-05-22,1.1316417732974355,1.2193485452955553
2023-05-23,1.1129357104826332,1.197270864507688
2023-05-24,1.1051102043528191,1.2002380817856053
2023-05-25,1.1040050974907096,1.2164723410963802
2023-05-26,1.1040050974907096,1.2314185688878065
2023-05-30,1.1040050974907096,1.2380790979045717
2023-05-31,1.1040050974907096,1.229369209087438
2023-06-01,1.1040050974907096,1.238851744282392
2023-06-02,1.1040050974907096,1.2497301480011211
2023-06-05,1.1040050974907096,1.2679036085758013
2023-06-06,1.1008016014029942,1.2682085602994262
2023-06-07,1.0829998896374695,1.2447467410109045
2023-06-08,1.0819168906467718,1.2768291365806914
2023-06-09,1.0835732712438013,1.2938849372233026
2023-06-12,1.1025400224429904,1.3169054263225313
2023-06-13,1.1143332935678303,1.322705022790252
2023-06-14,1.1254070706383525,1.3281792599616196
