date,a2c,Mean Var
2023-01-03,1.0,0.9846360301801834
2023-01-04,1.0163093084800339,0.981967622146821
2023-01-05,1.0082150109489059,0.9595658335245896
2023-01-06,1.0072068047628138,0.9684868415381532
2023-01-09,1.0079793503069632,0.9450400190928125
2023-01-10,1.006971377285084,0.9496354041582586
2023-01-11,1.016208201656662,0.9628918393487031
2023-01-12,1.022806303711258,0.9624801392118673
2023-01-13,1.0305121135505066,0.9713434019927886
2023-01-17,1.0323895942691192,0.9742465028873483
2023-01-18,1.018341827207886,0.961683927577938
2023-01-19,1.0140863597682344,0.9339064692396357
2023-01-20,1.0130722799113656,0.9328622693782291
2023-01-23,1.0268056371251564,0.9359040043345788
2023-01-24,1.0241695648595315,0.9318198535942962
2023-01-25,1.0226418064519387,0.9257186658002413
2023-01-26,1.0367233633824806,0.9307668608936422
2023-01-27,1.0356866468759345,0.927573965183625
2023-01-30,1.0356866468759345,0.9283897554274924
2023-01-31,1.0470614501799504,0.9467308476736248
2023-02-01,1.0460143890882296,0.9564208838491067
2023-02-02,1.0460143890882296,0.9438737093510491
2023-02-03,1.0460143890882296,0.9445391862098708
2023-02-06,1.0460143890882296,0.9428597802550297
2023-02-07,1.0562430243225438,0.952104129607141
2023-02-08,1.041929228416477,0.9432677491998626
2023-02-09,1.040887303367092,0.9351126268699245
2023-02-10,1.040887303367092,0.9526679535398176
2023-02-13,1.05509461961515,0.9609937431448525
2023-02-14,1.0576528454643017,0.957182214130434
2023-02-15,1.0680686248946911,0.9597525815486607
2023-02-16,1.0562371505714185,0.9306244684993374
2023-02-17,1.0551809193472286,0.9336250046161616
2023-02-21,1.0342922946156974,0.9246960525256029
2023-02-22,1.0345899590711112,0.9261825686627791
2023-02-23,1.0427226856240746,0.9256342911201751
2023-02-24,1.041679973213245,0.9082021541369771
2023-02-27,1.04746368418683,0.9183471036937076
2023-02-28,1.0467186444367307,0.9080287346648388
2023-03-01,1.0474771962984937,0.9152165683814706
2023-03-02,1.0578686889857192,0.9278944220097693
2023-03-03,1.072940371610536,0.9409884644728135
2023-03-06,1.0695121303957837,0.9395913581447388
2023-03-07,1.0555304186924834,0.9280910313586588
2023-03-08,1.0577118130434888,0.9212969673620686
2023-03-09,1.037436320928468,0.9177167881231959
2023-03-10,1.020114574328317,0.9044540860073327
2023-03-13,1.012814012905969,0.918259869266333
2023-03-14,1.0118012087705988,0.9268542876036271
2023-03-15,1.0118012087705988,0.9216584099857051
2023-03-16,1.0118012087705988,0.920553991448688
2023-03-17,0.996076480415721,0.8988457563146292
2023-03-20,1.0109065445541336,0.9172069363387749
2023-03-21,1.0199650871747925,0.9348787122061425
2023-03-22,1.0011051908048583,0.9205695296223046
2023-03-23,1.0024497711996032,0.9225315331709965
2023-03-24,1.0085990734933807,0.919179810069174
2023-03-27,1.0131477670616102,0.9231133354920341
2023-03-28,1.00972877598228,0.9219617169502342
2023-03-29,1.0220614660591079,0.930536760608686
2023-03-30,1.029599693549533,0.9380706745525287
2023-03-31,1.0408053354495956,0.9542399106308002
2023-04-03,1.041771419857402,0.9560532700841236
2023-04-04,1.0315961105503035,0.9584920690564909
2023-04-05,1.0309746710533096,0.9518809709430991
2023-04-06,1.0299437019766342,0.9573124517486151
2023-04-10,1.0326194265554345,0.9635560276765157
2023-04-11,1.0370712210386195,0.9661151303477912
2023-04-12,1.0327206173780359,0.9702319352866519
2023-04-13,1.0494111912496484,0.9934301158959961
2023-04-14,1.0472589735353388,0.9915724899875236
2023-04-17,1.0547306916883386,1.0111878923904376
2023-04-18,1.0566660642908012,1.012360220355741
2023-04-19,1.0537764444272912,1.0117053481102032
2023-04-20,1.0495890675733484,1.0134772616937535
2023-04-21,1.0531653412549888,1.0229694657890969
2023-04-24,1.054670032119552,1.0230294238576578
2023-04-25,1.0366242084539332,1.0186242745555267
2023-04-26,1.0355875875559684,0.9597741530729328
2023-04-27,1.0355875875559684,0.9774121815924517
2023-04-28,1.0355875875559684,0.9805849046838866
2023-05-01,1.0365055578886313,0.9860101841399698
2023-05-02,1.026391556147222,0.9781954728434963
2023-05-03,1.0253651725195165,1.0029110956523772
2023-05-04,1.0253651725195165,0.9976686158399354
2023-05-05,1.0253651725195165,1.0093001875473069
2023-05-08,1.0253651725195165,1.0174393685011385
2023-05-09,1.0253651725195165,1.009196519530531
2023-05-10,1.0254211405513616,1.015540719761579
2023-05-11,1.0254511437938543,1.0160636149158209
2023-05-12,1.0244256935921712,1.0214836269185343
2023-05-15,1.0267479462570415,1.0184285903657908
2023-05-16,1.019164707801269,1.0090828923848798
2023-05-17,1.0322836212181317,1.0143697823480726
2023-05-18,1.0453002157463298,1.013905385890329
2023-05-19,1.0430250289377438,1.0146787154294559
2023-05-22,1.037899474255012,1.0123098492455043
2023-05-23,1.024080859099792,0.9844050955586345
2023-05-24,1.016096136330055,0.985739845155376
2023-05-25,1.0190433322986827,0.9861383541696568
2023-05-26,1.0180242978075016,0.986447922709747
2023-05-30,1.0094279066159122,0.9933830552964713
2023-05-31,1.0041407949673526,0.9962795431316214
2023-06-01,1.0136944277951114,1.0130905346056434
2023-06-02,1.012680741717017,1.024463358385304
2023-06-05,1.0155891847715024,1.0285722380721916
2023-06-06,1.0145736028741863,1.0269702861813448
2023-06-07,1.0086377465863483,1.0127335075864048
2023-06-08,1.0076291146482876,1.0263281655588716
2023-06-09,1.002734028673369,1.0252633013644914
2023-06-12,1.0104485239421908,1.0347577651017783
2023-06-13,1.0168842302915635,1.0386440549539258
2023-06-14,1.0174124390995087,1.0377481116068603
