date,a2c,Mean Var
2023-01-03,1.0,0.9853049480035736
2023-01-04,1.0100544213129443,0.9854415840107322
2023-01-05,1.009418829548096,0.9726709018347975
2023-01-06,1.0241788299493126,0.9976177892213525
2023-01-09,1.0162362536896348,0.9913107261567887
2023-01-10,1.0152200439882417,0.9901119845436533
2023-01-11,1.0192426316281307,0.9858838557702683
2023-01-12,1.0215343181215901,0.9835185505523983
2023-01-13,1.0303113707611127,0.9893398882332225
2023-01-17,1.0308718007568414,1.0020318158051207
2023-01-18,1.02070505871846,0.98516273035798
2023-01-19,1.0085170687263185,0.9736900058317036
2023-01-20,1.0328319904906922,0.9898215680935777
2023-01-23,1.055669952219742,1.0086054916145937
2023-01-24,1.0542019984748536,1.008760616058258
2023-01-25,1.053147798504761,1.0068223396670082
2023-01-26,1.0601582240717928,1.0325511607602722
2023-01-27,1.049954182190098,1.0397920383284696
2023-01-30,1.0489042441037923,1.023481868401202
2023-01-31,1.0564604326957932,1.0435754063215905
2023-02-01,1.0731516590881882,1.0793565281875677
2023-02-02,1.0720785290536041,1.0928286821303288
2023-02-03,1.0720785290536041,1.0862213319075413
2023-02-06,1.0720785290536041,1.0873130650360927
2023-02-07,1.0782501431992053,1.0987758609437313
2023-02-08,1.057646543055315,1.1116837483305129
2023-02-09,1.0565889184293307,1.1151967613636302
2023-02-10,1.0495075147280195,1.1353638766412737
2023-02-13,1.0673337407298695,1.148794156170616
2023-02-14,1.0734979060614194,1.1750238941848004
2023-02-15,1.080081619677912,1.1868283018123997
2023-02-16,1.0790015402492634,1.1576237119442678
2023-02-17,1.0749641323041836,1.1592440460697515
2023-02-21,1.057316459658432,1.1345191550545128
2023-02-22,1.0540659460943544,1.1258717488795018
2023-02-23,1.0635165220628693,1.1322255982046179
2023-02-24,1.0624530064356268,1.111549306449493
2023-02-27,1.0624530064356268,1.1324677715263518
2023-02-28,1.0609466257697697,1.1237156399854804
2023-03-01,1.0620508589990236,1.1147967431560124
2023-03-02,1.0754251677308317,1.1440697677776375
2023-03-03,1.0900635188139112,1.1580324335363332
2023-03-06,1.0889734564736038,1.1317059839087384
2023-03-07,1.0798348186349447,1.1206802749687943
2023-03-08,1.0801237533871095,1.1206685383478823
2023-03-09,1.0598395349963858,1.099028818988794
2023-03-10,1.0453846025555973,1.082264013356178
2023-03-13,1.0443224468192254,1.0886312224070933
2023-03-14,1.0432781260114004,1.1157508680240693
2023-03-15,1.0359503482325803,1.1141724412411784
2023-03-16,1.0492667015523627,1.133044736104694
2023-03-17,1.0401932415305164,1.1171410151998988
2023-03-20,1.0546887603846764,1.1356919399914083
2023-03-21,1.065438802850081,1.1574193119869907
2023-03-22,1.049331866880728,1.1347221837169266
2023-03-23,1.0685085072067513,1.139363194059574
2023-03-24,1.0709773953386081,1.1371659426221263
2023-03-27,1.0710332388134731,1.1487257956348458
2023-03-28,1.0743617388060822,1.1426723045185523
2023-03-29,1.0895057291446462,1.1519517058674762
2023-03-30,1.088416223638091,1.1633231869634306
2023-03-31,1.098265178450976,1.1859767705617865
2023-04-03,1.0993370694887876,1.1757056796436829
