date,ppo,Mean Var
2023-01-03,1.0,0.9853049480035736
2023-01-04,1.0017694272367257,0.9854415840107322
2023-01-05,1.0015967124164138,0.9726709018347975
2023-01-06,1.006068452079471,0.9976177892213525
2023-01-09,1.0084345384983575,0.9913107261567887
2023-01-10,1.0080795292991693,0.9901119845436533
2023-01-11,1.0103439111503274,0.9858838557702683
2023-01-12,1.0167610818995987,0.9835185505523983
2023-01-13,1.0260955518414656,0.9893398882332225
2023-01-17,1.0238484628201423,1.0020318158051207
2023-01-18,1.013587489841486,0.98516273035798
2023-01-19,1.0010468486458626,0.9736900058317036
2023-01-20,1.0266987482330094,0.9898215680935777
2023-01-23,1.0437846667588673,1.0086054916145937
2023-01-24,1.0430953967157326,1.008760616058258
2023-01-25,1.0420523068023093,1.0068223396670082
2023-01-26,1.0458115479686036,1.0325511607602722
2023-01-27,1.0456436378420562,1.0397920383284696
2023-01-30,1.045251749562321,1.023481868401202
2023-01-31,1.0482855833730196,1.0435754063215905
2023-02-01,1.0592945851969915,1.0793565281875677
2023-02-02,1.0588930889951038,1.0928286821303288
2023-02-03,1.0588930889951038,1.0862213319075413
2023-02-06,1.0588930889951038,1.0873130650360927
2023-02-07,1.061235330346893,1.0987758609437313
2023-02-08,1.0559974209882212,1.1116837483305129
2023-02-09,1.0556005722303092,1.1151967613636302
2023-02-10,1.0533998086612122,1.1353638766412737
2023-02-13,1.0584666867749033,1.148794156170616
2023-02-14,1.0637036751594275,1.1750238941848004
2023-02-15,1.0712393225298007,1.1868283018123997
2023-02-16,1.0704335282038226,1.1576237119442678
2023-02-17,1.0685955465656318,1.1592440460697515
2023-02-21,1.0603789101921328,1.1345191550545128
2023-02-22,1.0615088567326345,1.1258717488795018
2023-02-23,1.0718474648113705,1.1322255982046179
2023-02-24,1.0710692674293296,1.111549306449493
2023-02-27,1.0710692674293296,1.1324677715263518
2023-02-28,1.0718139954363513,1.1237156399854804
2023-03-01,1.0689718713287646,1.1147967431560124
2023-03-02,1.075581227841499,1.1440697677776375
2023-03-03,1.086573851522385,1.1580324335363332
2023-03-06,1.0857767626049841,1.1317059839087384
2023-03-07,1.0837756097826532,1.1206802749687943
2023-03-08,1.0858133749607364,1.1206685383478823
2023-03-09,1.072400193527616,1.099028818988794
2023-03-10,1.056818613065795,1.082264013356178
2023-03-13,1.0590115920599912,1.0886312224070933
2023-03-14,1.0580575183117737,1.1157508680240693
2023-03-15,1.0561453111161696,1.1141724412411784
2023-03-16,1.0652170957876355,1.133044736104694
2023-03-17,1.0607420784147192,1.1171410151998988
2023-03-20,1.064808810806357,1.1356919399914083
2023-03-21,1.0763724486136679,1.1574193119869907
2023-03-22,1.0577519557232984,1.1347221837169266
2023-03-23,1.067149929420395,1.139363194059574
2023-03-24,1.0638611200557329,1.1371659426221263
2023-03-27,1.0644141478610707,1.1487257956348458
2023-03-28,1.065629145320877,1.1426723045185523
2023-03-29,1.0940891462926368,1.1519517058674762
2023-03-30,1.0929950601538907,1.1633231869634306
2023-03-31,1.0962658505698233,1.1859767705617865
2023-04-03,1.0945943803395843,1.1757056796436829
2023-04-04,1.0878529686755416,1.1702951059989926
2023-04-05,1.0744410410794387,1.1473894915241993
2023-04-06,1.0745259036885837,1.1482353375889451
2023-04-10,1.0827666241704645,1.160191478878308
2023-04-11,1.088644373256202,1.1686489001829152
2023-04-12,1.075660610504274,1.163124748719878
2023-04-13,1.0931303366205807,1.1775926328762076
2023-04-14,1.094583447679824,1.1771065971318744
2023-04-17,1.09970504873386,1.1856939798393187
2023-04-18,1.1041722227932342,1.189630142344201
2023-04-19,1.1000735949482454,1.193462741966444
2023-04-20,1.098973524410784,1.1733684280789194
2023-04-21,1.098973524410784,1.1766695907028224
2023-04-24,1.0983259578567488,1.174562040611406
2023-04-25,1.0875903771010786,1.1540709488876797
2023-04-26,1.0875385826444581,1.144273509593268
2023-04-27,1.0869304495838203,1.158713865989495
2023-04-28,1.0869304495838203,1.1616956858492336
2023-05-01,1.0869304495838203,1.1565908456225704
2023-05-02,1.0837139259178843,1.1535705325722942
2023-05-03,1.083506928747108,1.1390670195425503
2023-05-04,1.083506928747108,1.1464417951676857
2023-05-05,1.083506928747108,1.1795735692760794
2023-05-08,1.083506928747108,1.190789678875604
2023-05-09,1.0806490094532908,1.1906742222561888
2023-05-10,1.0866499359129407,1.2018990898752173
2023-05-11,1.0854492758934762,1.2037311832652682
2023-05-12,1.0826841920367953,1.2008987304805936
2023-05-15,1.094431042351868,1.1913720467061888
2023-05-16,1.0865000827043083,1.1883297036824385
2023-05-17,1.1043718683116166,1.2002808013747466
2023-05-18,1.1263413677312857,1.2099189393603489
2023-05-19,1.1252150325367267,1.2140361053397561
2023-05-22,1.1258517531256382,1.2193485452955553
2023-05-23,1.1167046174751172,1.197270864507688
2023-05-24,1.111937492120475,1.2002380817856053
2023-05-25,1.1113075919580189,1.2164723410963802
2023-05-26,1.1113075919580189,1.2314185688878065
2023-05-30,1.1113075919580189,1.2380790979045717
2023-05-31,1.1113075919580189,1.229369209087438
2023-06-01,1.1113075919580189,1.238851744282392
2023-06-02,1.1113075919580189,1.2497301480011211
2023-06-05,1.1113075919580189,1.2679036085758013
2023-06-06,1.109307081327036,1.2682085602994262
2023-06-07,1.1015945061366135,1.2447467410109045
2023-06-08,1.101164517212146,1.2768291365806914
2023-06-09,1.1007626677417872,1.2938849372233026
2023-06-12,1.1096344356649184,1.3169054263225313
2023-06-13,1.1114088653632759,1.322705022790252
2023-06-14,1.117757525472298,1.3281792599616196
