date,ddpg,Mean Var
2023-01-03,1.0,0.9853049480035736
2023-01-04,1.0096591952195166,0.9854415840107322
2023-01-05,1.0087584948842525,0.9726709018347975
2023-01-06,1.037906393346548,0.9976177892213525
2023-01-09,1.035597071516756,0.9913107261567887
2023-01-10,1.0345614793666247,0.9901119845436533
2023-01-11,1.0429742829892519,0.9858838557702683
2023-01-12,1.0435663318722133,0.9835185505523983
2023-01-13,1.0501067782223108,0.9893398882332225
2023-01-17,1.0507014916784647,1.0020318158051207
2023-01-18,1.040407711417425,0.98516273035798
2023-01-19,1.0202529669277551,0.9736900058317036
2023-01-20,1.0462028466026667,0.9898215680935777
2023-01-23,1.0681588385746363,1.0086054916145937
2023-01-24,1.065297107857931,1.008760616058258
2023-01-25,1.0642318124974055,1.0068223396670082
2023-01-26,1.0756653525223536,1.0325511607602722
2023-01-27,1.0628795380406528,1.0397920383284696
2023-01-30,1.061816661958412,1.023481868401202
2023-01-31,1.0737297373168981,1.0435754063215905
2023-02-01,1.1045313496385656,1.0793565281875677
2023-02-02,1.1034268215909913,1.0928286821303288
2023-02-03,1.1034268215909913,1.0862213319075413
2023-02-06,1.1034268215909913,1.0873130650360927
2023-02-07,1.1144520283899264,1.0987758609437313
2023-02-08,1.092110900659429,1.1116837483305129
2023-02-09,1.0910187912628317,1.1151967613636302
2023-02-10,1.0851124606367732,1.1353638766412737
2023-02-13,1.1031406261723486,1.148794156170616
2023-02-14,1.1110341582363097,1.1750238941848004
2023-02-15,1.1185574664838758,1.1868283018123997
2023-02-16,1.1174389120153554,1.1576237119442678
2023-02-17,1.114542929968513,1.1592440460697515
2023-02-21,1.0875552716666863,1.1345191550545128
2023-02-22,1.0835030061274273,1.1258717488795018
2023-02-23,1.0922310912123425,1.1322255982046179
2023-02-24,1.0911388602463816,1.111549306449493
2023-02-27,1.0911388602463816,1.1324677715263518
2023-02-28,1.088021315129671,1.1237156399854804
2023-03-01,1.084490492655785,1.1147967431560124
2023-03-02,1.094440408948048,1.1440697677776375
2023-03-03,1.1128905225487788,1.1580324335363332
2023-03-06,1.1117776356479974,1.1317059839087384
